Epoch  6 | Test_Loss  0.7069454038 | Test_ACC  0.516 | Test_AUC  0.538 | Test_F1_score  0.681 | Test_Sens  1.000 | Test_Spec  0.000
Epoch 19 | Test_Loss  0.7022660815 | Test_ACC  0.510 | Test_AUC  0.456 | Test_F1_score  0.675 | Test_Sens  0.987 | Test_Spec  0.000
Epoch 20 | Test_Loss  0.6976375709 | Test_ACC  0.523 | Test_AUC  0.525 | Test_F1_score  0.684 | Test_Sens  1.000 | Test_Spec  0.014
Epoch 21 | Test_Loss  0.6999229400 | Test_ACC  0.523 | Test_AUC  0.514 | Test_F1_score  0.684 | Test_Sens  1.000 | Test_Spec  0.014
Epoch 22 | Test_Loss  0.7106383365 | Test_ACC  0.516 | Test_AUC  0.510 | Test_F1_score  0.673 | Test_Sens  0.962 | Test_Spec  0.041
Epoch 23 | Test_Loss  0.7011753917 | Test_ACC  0.516 | Test_AUC  0.608 | Test_F1_score  0.664 | Test_Sens  0.924 | Test_Spec  0.081
Epoch 24 | Test_Loss  0.6923517092 | Test_ACC  0.503 | Test_AUC  0.553 | Test_F1_score  0.655 | Test_Sens  0.911 | Test_Spec  0.068
Epoch 25 | Test_Loss  0.6987728062 | Test_ACC  0.510 | Test_AUC  0.494 | Test_F1_score  0.272 | Test_Sens  0.177 | Test_Spec  0.865
Epoch 26 | Test_Loss  0.6956221150 | Test_ACC  0.497 | Test_AUC  0.520 | Test_F1_score  0.238 | Test_Sens  0.152 | Test_Spec  0.865
Epoch 27 | Test_Loss  0.7004220615 | Test_ACC  0.523 | Test_AUC  0.531 | Test_F1_score  0.354 | Test_Sens  0.253 | Test_Spec  0.811
Epoch 28 | Test_Loss  0.6924205448 | Test_ACC  0.490 | Test_AUC  0.494 | Test_F1_score  0.264 | Test_Sens  0.177 | Test_Spec  0.824
Epoch 29 | Test_Loss  0.6960776293 | Test_ACC  0.458 | Test_AUC  0.456 | Test_F1_score  0.278 | Test_Sens  0.203 | Test_Spec  0.730
Epoch 30 | Test_Loss  0.6958473066 | Test_ACC  0.542 | Test_AUC  0.563 | Test_F1_score  0.327 | Test_Sens  0.215 | Test_Spec  0.892
Epoch 31 | Test_Loss  0.6966614386 | Test_ACC  0.562 | Test_AUC  0.555 | Test_F1_score  0.385 | Test_Sens  0.266 | Test_Spec  0.878
Epoch 32 | Test_Loss  0.6928329286 | Test_ACC  0.438 | Test_AUC  0.437 | Test_F1_score  0.246 | Test_Sens  0.177 | Test_Spec  0.716
Epoch 33 | Test_Loss  0.6944085178 | Test_ACC  0.503 | Test_AUC  0.488 | Test_F1_score  0.255 | Test_Sens  0.165 | Test_Spec  0.865
Epoch 34 | Test_Loss  0.6994086970 | Test_ACC  0.471 | Test_AUC  0.458 | Test_F1_score  0.257 | Test_Sens  0.177 | Test_Spec  0.784
Epoch 35 | Test_Loss  0.6983107510 | Test_ACC  0.444 | Test_AUC  0.404 | Test_F1_score  0.175 | Test_Sens  0.114 | Test_Spec  0.797
Epoch 36 | Test_Loss  0.6938088951 | Test_ACC  0.510 | Test_AUC  0.492 | Test_F1_score  0.257 | Test_Sens  0.165 | Test_Spec  0.878
Epoch 37 | Test_Loss  0.6956119900 | Test_ACC  0.523 | Test_AUC  0.512 | Test_F1_score  0.291 | Test_Sens  0.190 | Test_Spec  0.878
Epoch 38 | Test_Loss  0.6990199011 | Test_ACC  0.497 | Test_AUC  0.490 | Test_F1_score  0.267 | Test_Sens  0.177 | Test_Spec  0.838
Epoch 39 | Test_Loss  0.6926244186 | Test_ACC  0.503 | Test_AUC  0.542 | Test_F1_score  0.269 | Test_Sens  0.177 | Test_Spec  0.851
Epoch 40 | Test_Loss  0.6944433062 | Test_ACC  0.458 | Test_AUC  0.476 | Test_F1_score  0.194 | Test_Sens  0.127 | Test_Spec  0.811
Epoch 41 | Test_Loss  0.6956717631 | Test_ACC  0.438 | Test_AUC  0.397 | Test_F1_score  0.140 | Test_Sens  0.089 | Test_Spec  0.811
Epoch 42 | Test_Loss  0.6907874838 | Test_ACC  0.484 | Test_AUC  0.448 | Test_F1_score  0.202 | Test_Sens  0.127 | Test_Spec  0.865
Epoch 43 | Test_Loss  0.6965519060 | Test_ACC  0.503 | Test_AUC  0.525 | Test_F1_score  0.321 | Test_Sens  0.228 | Test_Spec  0.797
Epoch 44 | Test_Loss  0.6956835311 | Test_ACC  0.510 | Test_AUC  0.562 | Test_F1_score  0.299 | Test_Sens  0.203 | Test_Spec  0.838
Epoch 45 | Test_Loss  0.7011369933 | Test_ACC  0.503 | Test_AUC  0.498 | Test_F1_score  0.283 | Test_Sens  0.190 | Test_Spec  0.838
Epoch 46 | Test_Loss  0.6944731396 | Test_ACC  0.497 | Test_AUC  0.501 | Test_F1_score  0.222 | Test_Sens  0.139 | Test_Spec  0.878
Epoch 47 | Test_Loss  0.6957356878 | Test_ACC  0.516 | Test_AUC  0.524 | Test_F1_score  0.229 | Test_Sens  0.139 | Test_Spec  0.919
Epoch 48 | Test_Loss  0.6956413025 | Test_ACC  0.523 | Test_AUC  0.548 | Test_F1_score  0.330 | Test_Sens  0.228 | Test_Spec  0.838
Epoch 49 | Test_Loss  0.6877585701 | Test_ACC  0.503 | Test_AUC  0.521 | Test_F1_score  0.240 | Test_Sens  0.152 | Test_Spec  0.878
Epoch 50 | Test_Loss  0.6983696689 | Test_ACC  0.458 | Test_AUC  0.420 | Test_F1_score  0.565 | Test_Sens  0.684 | Test_Spec  0.216
Epoch 51 | Test_Loss  0.6937141496 | Test_ACC  0.536 | Test_AUC  0.534 | Test_F1_score  0.548 | Test_Sens  0.544 | Test_Spec  0.527
Epoch 52 | Test_Loss  0.6949549369 | Test_ACC  0.490 | Test_AUC  0.492 | Test_F1_score  0.642 | Test_Sens  0.886 | Test_Spec  0.068
Epoch 53 | Test_Loss  0.7002989598 | Test_ACC  0.549 | Test_AUC  0.562 | Test_F1_score  0.635 | Test_Sens  0.759 | Test_Spec  0.324
Epoch 54 | Test_Loss  0.6954496684 | Test_ACC  0.471 | Test_AUC  0.471 | Test_F1_score  0.391 | Test_Sens  0.329 | Test_Spec  0.622
Epoch 55 | Test_Loss  0.6994066938 | Test_ACC  0.536 | Test_AUC  0.573 | Test_F1_score  0.570 | Test_Sens  0.595 | Test_Spec  0.473
Epoch 56 | Test_Loss  0.6919105727 | Test_ACC  0.510 | Test_AUC  0.528 | Test_F1_score  0.634 | Test_Sens  0.823 | Test_Spec  0.176
Epoch 57 | Test_Loss  0.6963357355 | Test_ACC  0.477 | Test_AUC  0.500 | Test_F1_score  0.560 | Test_Sens  0.646 | Test_Spec  0.297
Epoch 58 | Test_Loss  0.7005927226 | Test_ACC  0.516 | Test_AUC  0.495 | Test_F1_score  0.622 | Test_Sens  0.772 | Test_Spec  0.243
Epoch 59 | Test_Loss  0.6965726173 | Test_ACC  0.510 | Test_AUC  0.525 | Test_F1_score  0.595 | Test_Sens  0.696 | Test_Spec  0.311
Epoch 60 | Test_Loss  0.6917599984 | Test_ACC  0.458 | Test_AUC  0.433 | Test_F1_score  0.556 | Test_Sens  0.658 | Test_Spec  0.243
Epoch 61 | Test_Loss  0.6983312524 | Test_ACC  0.516 | Test_AUC  0.494 | Test_F1_score  0.637 | Test_Sens  0.823 | Test_Spec  0.189
Epoch 62 | Test_Loss  0.6943567603 | Test_ACC  0.484 | Test_AUC  0.459 | Test_F1_score  0.515 | Test_Sens  0.532 | Test_Spec  0.432
Epoch 63 | Test_Loss  0.6973484729 | Test_ACC  0.497 | Test_AUC  0.494 | Test_F1_score  0.584 | Test_Sens  0.684 | Test_Spec  0.297
Epoch 64 | Test_Loss  0.6966531588 | Test_ACC  0.490 | Test_AUC  0.464 | Test_F1_score  0.576 | Test_Sens  0.671 | Test_Spec  0.297
Epoch 65 | Test_Loss  0.6960742137 | Test_ACC  0.536 | Test_AUC  0.586 | Test_F1_score  0.628 | Test_Sens  0.759 | Test_Spec  0.297
Epoch 66 | Test_Loss  0.6932327385 | Test_ACC  0.477 | Test_AUC  0.508 | Test_F1_score  0.596 | Test_Sens  0.747 | Test_Spec  0.189
Epoch  6 | Test_Loss  0.6920982547 | Test_ACC  0.516 | Test_AUC  0.511 | Test_F1_score  0.549 | Test_Sens  0.570 | Test_Spec  0.459
Epoch  7 | Test_Loss  0.6993547548 | Test_ACC  0.542 | Test_AUC  0.518 | Test_F1_score  0.557 | Test_Sens  0.557 | Test_Spec  0.527
Epoch  8 | Test_Loss  0.6984332463 | Test_ACC  0.529 | Test_AUC  0.472 | Test_F1_score  0.625 | Test_Sens  0.759 | Test_Spec  0.284
Epoch  9 | Test_Loss  0.6943713142 | Test_ACC  0.471 | Test_AUC  0.514 | Test_F1_score  0.509 | Test_Sens  0.532 | Test_Spec  0.405
Epoch 10 | Test_Loss  0.6984347546 | Test_ACC  0.529 | Test_AUC  0.548 | Test_F1_score  0.532 | Test_Sens  0.519 | Test_Spec  0.541
Epoch 11 | Test_Loss  0.6971825672 | Test_ACC  0.490 | Test_AUC  0.465 | Test_F1_score  0.506 | Test_Sens  0.506 | Test_Spec  0.473
Epoch 12 | Test_Loss  0.7024143260 | Test_ACC  0.542 | Test_AUC  0.595 | Test_F1_score  0.602 | Test_Sens  0.671 | Test_Spec  0.405
Epoch 13 | Test_Loss  0.7046433739 | Test_ACC  0.464 | Test_AUC  0.462 | Test_F1_score  0.438 | Test_Sens  0.405 | Test_Spec  0.527
Epoch 14 | Test_Loss  0.7095378611 | Test_ACC  0.510 | Test_AUC  0.468 | Test_F1_score  0.551 | Test_Sens  0.582 | Test_Spec  0.432
Epoch 15 | Test_Loss  0.6956656886 | Test_ACC  0.536 | Test_AUC  0.540 | Test_F1_score  0.570 | Test_Sens  0.595 | Test_Spec  0.473
Epoch 16 | Test_Loss  0.6950065390 | Test_ACC  0.510 | Test_AUC  0.485 | Test_F1_score  0.599 | Test_Sens  0.709 | Test_Spec  0.297
Epoch 17 | Test_Loss  0.7013684459 | Test_ACC  0.542 | Test_AUC  0.528 | Test_F1_score  0.573 | Test_Sens  0.595 | Test_Spec  0.486
Epoch 18 | Test_Loss  0.6949893055 | Test_ACC  0.471 | Test_AUC  0.489 | Test_F1_score  0.537 | Test_Sens  0.595 | Test_Spec  0.338
Epoch 19 | Test_Loss  0.6914671737 | Test_ACC  0.444 | Test_AUC  0.432 | Test_F1_score  0.479 | Test_Sens  0.494 | Test_Spec  0.392
Epoch 20 | Test_Loss  0.6934988965 | Test_ACC  0.529 | Test_AUC  0.517 | Test_F1_score  0.561 | Test_Sens  0.582 | Test_Spec  0.473
Epoch 21 | Test_Loss  0.6957769446 | Test_ACC  0.471 | Test_AUC  0.391 | Test_F1_score  0.542 | Test_Sens  0.608 | Test_Spec  0.324
Epoch 22 | Test_Loss  0.6943707673 | Test_ACC  0.569 | Test_AUC  0.550 | Test_F1_score  0.633 | Test_Sens  0.722 | Test_Spec  0.405
Epoch 23 | Test_Loss  0.6916778450 | Test_ACC  0.516 | Test_AUC  0.509 | Test_F1_score  0.526 | Test_Sens  0.519 | Test_Spec  0.514
Epoch 24 | Test_Loss  0.6984804480 | Test_ACC  0.516 | Test_AUC  0.488 | Test_F1_score  0.532 | Test_Sens  0.532 | Test_Spec  0.500
Epoch 25 | Test_Loss  0.6983962059 | Test_ACC  0.503 | Test_AUC  0.481 | Test_F1_score  0.542 | Test_Sens  0.570 | Test_Spec  0.432
Epoch 26 | Test_Loss  0.7003854850 | Test_ACC  0.562 | Test_AUC  0.529 | Test_F1_score  0.626 | Test_Sens  0.709 | Test_Spec  0.405
Epoch 27 | Test_Loss  0.7026576633 | Test_ACC  0.542 | Test_AUC  0.531 | Test_F1_score  0.593 | Test_Sens  0.646 | Test_Spec  0.432
Epoch 28 | Test_Loss  0.6998238900 | Test_ACC  0.477 | Test_AUC  0.447 | Test_F1_score  0.560 | Test_Sens  0.646 | Test_Spec  0.297
Epoch 29 | Test_Loss  0.6926842047 | Test_ACC  0.471 | Test_AUC  0.444 | Test_F1_score  0.497 | Test_Sens  0.506 | Test_Spec  0.432
Epoch 30 | Test_Loss  0.6899541902 | Test_ACC  0.503 | Test_AUC  0.527 | Test_F1_score  0.563 | Test_Sens  0.620 | Test_Spec  0.378
Epoch 31 | Test_Loss  0.6934238361 | Test_ACC  0.536 | Test_AUC  0.520 | Test_F1_score  0.580 | Test_Sens  0.620 | Test_Spec  0.446
Epoch 32 | Test_Loss  0.6980531967 | Test_ACC  0.438 | Test_AUC  0.455 | Test_F1_score  0.522 | Test_Sens  0.595 | Test_Spec  0.270
Epoch 33 | Test_Loss  0.6978025514 | Test_ACC  0.438 | Test_AUC  0.432 | Test_F1_score  0.500 | Test_Sens  0.544 | Test_Spec  0.324
Epoch 34 | Test_Loss  0.7001232557 | Test_ACC  0.529 | Test_AUC  0.548 | Test_F1_score  0.561 | Test_Sens  0.582 | Test_Spec  0.473
Epoch 35 | Test_Loss  0.6974945872 | Test_ACC  0.529 | Test_AUC  0.547 | Test_F1_score  0.538 | Test_Sens  0.532 | Test_Spec  0.527
Epoch 36 | Test_Loss  0.7010758027 | Test_ACC  0.516 | Test_AUC  0.503 | Test_F1_score  0.549 | Test_Sens  0.570 | Test_Spec  0.459
Epoch 37 | Test_Loss  0.6955367741 | Test_ACC  0.490 | Test_AUC  0.524 | Test_F1_score  0.585 | Test_Sens  0.696 | Test_Spec  0.270
Epoch 38 | Test_Loss  0.6931828753 | Test_ACC  0.490 | Test_AUC  0.532 | Test_F1_score  0.530 | Test_Sens  0.557 | Test_Spec  0.419
Epoch 39 | Test_Loss  0.6964164195 | Test_ACC  0.438 | Test_AUC  0.455 | Test_F1_score  0.494 | Test_Sens  0.532 | Test_Spec  0.338
Epoch  6 | Test_Loss  0.6579405976 | Test_ACC  0.614 | Test_AUC  0.714 | Test_F1_score  0.528 | Test_Sens  0.418 | Test_Spec  0.824
Epoch  7 | Test_Loss  0.6686665908 | Test_ACC  0.575 | Test_AUC  0.660 | Test_F1_score  0.381 | Test_Sens  0.253 | Test_Spec  0.919
Epoch  8 | Test_Loss  0.6518752549 | Test_ACC  0.634 | Test_AUC  0.741 | Test_F1_score  0.491 | Test_Sens  0.342 | Test_Spec  0.946
Epoch  9 | Test_Loss  0.6556214612 | Test_ACC  0.627 | Test_AUC  0.684 | Test_F1_score  0.551 | Test_Sens  0.443 | Test_Spec  0.824
Epoch 10 | Test_Loss  0.6504857592 | Test_ACC  0.667 | Test_AUC  0.726 | Test_F1_score  0.592 | Test_Sens  0.468 | Test_Spec  0.878
Epoch 11 | Test_Loss  0.6359805309 | Test_ACC  0.627 | Test_AUC  0.704 | Test_F1_score  0.537 | Test_Sens  0.418 | Test_Spec  0.851
Epoch 12 | Test_Loss  0.6345777123 | Test_ACC  0.667 | Test_AUC  0.703 | Test_F1_score  0.598 | Test_Sens  0.481 | Test_Spec  0.865
Epoch 13 | Test_Loss  0.6369688653 | Test_ACC  0.595 | Test_AUC  0.642 | Test_F1_score  0.456 | Test_Sens  0.329 | Test_Spec  0.878
Epoch 14 | Test_Loss  0.6367085680 | Test_ACC  0.667 | Test_AUC  0.686 | Test_F1_score  0.579 | Test_Sens  0.443 | Test_Spec  0.905
Epoch 15 | Test_Loss  0.6312860380 | Test_ACC  0.680 | Test_AUC  0.738 | Test_F1_score  0.662 | Test_Sens  0.608 | Test_Spec  0.757
Epoch 16 | Test_Loss  0.6110479339 | Test_ACC  0.673 | Test_AUC  0.740 | Test_F1_score  0.627 | Test_Sens  0.532 | Test_Spec  0.824
Epoch 17 | Test_Loss  0.6251744291 | Test_ACC  0.680 | Test_AUC  0.732 | Test_F1_score  0.642 | Test_Sens  0.557 | Test_Spec  0.811
Epoch 18 | Test_Loss  0.6133748034 | Test_ACC  0.647 | Test_AUC  0.737 | Test_F1_score  0.649 | Test_Sens  0.633 | Test_Spec  0.662
Epoch 19 | Test_Loss  0.6050496672 | Test_ACC  0.686 | Test_AUC  0.727 | Test_F1_score  0.652 | Test_Sens  0.570 | Test_Spec  0.811
Epoch 20 | Test_Loss  0.6050367602 | Test_ACC  0.686 | Test_AUC  0.780 | Test_F1_score  0.667 | Test_Sens  0.608 | Test_Spec  0.770
Epoch 21 | Test_Loss  0.6043057701 | Test_ACC  0.693 | Test_AUC  0.751 | Test_F1_score  0.657 | Test_Sens  0.570 | Test_Spec  0.824
Epoch 22 | Test_Loss  0.5937247561 | Test_ACC  0.693 | Test_AUC  0.736 | Test_F1_score  0.680 | Test_Sens  0.633 | Test_Spec  0.757
Epoch 23 | Test_Loss  0.5908706888 | Test_ACC  0.654 | Test_AUC  0.738 | Test_F1_score  0.634 | Test_Sens  0.582 | Test_Spec  0.730
Epoch 24 | Test_Loss  0.5829104911 | Test_ACC  0.693 | Test_AUC  0.747 | Test_F1_score  0.662 | Test_Sens  0.582 | Test_Spec  0.811
Epoch 25 | Test_Loss  0.5836624037 | Test_ACC  0.693 | Test_AUC  0.749 | Test_F1_score  0.667 | Test_Sens  0.595 | Test_Spec  0.797
Epoch 26 | Test_Loss  0.5889857191 | Test_ACC  0.641 | Test_AUC  0.690 | Test_F1_score  0.604 | Test_Sens  0.532 | Test_Spec  0.757
Epoch 27 | Test_Loss  0.5876125991 | Test_ACC  0.706 | Test_AUC  0.770 | Test_F1_score  0.706 | Test_Sens  0.684 | Test_Spec  0.730
Epoch 28 | Test_Loss  0.5724359103 | Test_ACC  0.719 | Test_AUC  0.770 | Test_F1_score  0.681 | Test_Sens  0.582 | Test_Spec  0.865
Epoch 29 | Test_Loss  0.5739848769 | Test_ACC  0.654 | Test_AUC  0.730 | Test_F1_score  0.629 | Test_Sens  0.570 | Test_Spec  0.743
Epoch 30 | Test_Loss  0.5761438569 | Test_ACC  0.641 | Test_AUC  0.749 | Test_F1_score  0.631 | Test_Sens  0.595 | Test_Spec  0.689
Epoch 31 | Test_Loss  0.5774207387 | Test_ACC  0.686 | Test_AUC  0.754 | Test_F1_score  0.625 | Test_Sens  0.506 | Test_Spec  0.878
Epoch 32 | Test_Loss  0.5589276993 | Test_ACC  0.719 | Test_AUC  0.747 | Test_F1_score  0.691 | Test_Sens  0.608 | Test_Spec  0.838
Epoch 33 | Test_Loss  0.5700882297 | Test_ACC  0.673 | Test_AUC  0.747 | Test_F1_score  0.691 | Test_Sens  0.709 | Test_Spec  0.635
Epoch 34 | Test_Loss  0.5570509641 | Test_ACC  0.719 | Test_AUC  0.770 | Test_F1_score  0.703 | Test_Sens  0.646 | Test_Spec  0.797
Epoch 35 | Test_Loss  0.5561809410 | Test_ACC  0.719 | Test_AUC  0.763 | Test_F1_score  0.715 | Test_Sens  0.684 | Test_Spec  0.757
Epoch 36 | Test_Loss  0.5313248168 | Test_ACC  0.667 | Test_AUC  0.744 | Test_F1_score  0.662 | Test_Sens  0.633 | Test_Spec  0.703
Epoch 37 | Test_Loss  0.5509496046 | Test_ACC  0.680 | Test_AUC  0.784 | Test_F1_score  0.699 | Test_Sens  0.722 | Test_Spec  0.635
Epoch 38 | Test_Loss  0.5339473369 | Test_ACC  0.680 | Test_AUC  0.756 | Test_F1_score  0.662 | Test_Sens  0.608 | Test_Spec  0.757
Epoch 39 | Test_Loss  0.5281671635 | Test_ACC  0.673 | Test_AUC  0.734 | Test_F1_score  0.667 | Test_Sens  0.633 | Test_Spec  0.716
Epoch 40 | Test_Loss  0.5448368697 | Test_ACC  0.693 | Test_AUC  0.767 | Test_F1_score  0.719 | Test_Sens  0.759 | Test_Spec  0.622
Epoch 41 | Test_Loss  0.5268022897 | Test_ACC  0.686 | Test_AUC  0.744 | Test_F1_score  0.684 | Test_Sens  0.658 | Test_Spec  0.716
Epoch 42 | Test_Loss  0.5407958938 | Test_ACC  0.660 | Test_AUC  0.749 | Test_F1_score  0.690 | Test_Sens  0.734 | Test_Spec  0.581
Epoch 43 | Test_Loss  0.5301830522 | Test_ACC  0.719 | Test_AUC  0.770 | Test_F1_score  0.726 | Test_Sens  0.722 | Test_Spec  0.716
Epoch 44 | Test_Loss  0.5230681456 | Test_ACC  0.667 | Test_AUC  0.774 | Test_F1_score  0.662 | Test_Sens  0.633 | Test_Spec  0.703
Epoch 45 | Test_Loss  0.5132240485 | Test_ACC  0.706 | Test_AUC  0.770 | Test_F1_score  0.694 | Test_Sens  0.646 | Test_Spec  0.770
Epoch 46 | Test_Loss  0.5325816986 | Test_ACC  0.641 | Test_AUC  0.751 | Test_F1_score  0.667 | Test_Sens  0.696 | Test_Spec  0.581
Epoch 47 | Test_Loss  0.5059280460 | Test_ACC  0.699 | Test_AUC  0.779 | Test_F1_score  0.705 | Test_Sens  0.696 | Test_Spec  0.703
Epoch 48 | Test_Loss  0.4976696916 | Test_ACC  0.706 | Test_AUC  0.763 | Test_F1_score  0.720 | Test_Sens  0.734 | Test_Spec  0.676
Epoch 49 | Test_Loss  0.5112642231 | Test_ACC  0.686 | Test_AUC  0.751 | Test_F1_score  0.696 | Test_Sens  0.696 | Test_Spec  0.676
Epoch 50 | Test_Loss  0.5186285351 | Test_ACC  0.680 | Test_AUC  0.730 | Test_F1_score  0.692 | Test_Sens  0.696 | Test_Spec  0.662
Epoch 51 | Test_Loss  0.5145935559 | Test_ACC  0.706 | Test_AUC  0.772 | Test_F1_score  0.710 | Test_Sens  0.696 | Test_Spec  0.716
Epoch 52 | Test_Loss  0.5014181306 | Test_ACC  0.706 | Test_AUC  0.756 | Test_F1_score  0.717 | Test_Sens  0.722 | Test_Spec  0.689
Epoch 53 | Test_Loss  0.5033028657 | Test_ACC  0.667 | Test_AUC  0.758 | Test_F1_score  0.705 | Test_Sens  0.772 | Test_Spec  0.554
Epoch 54 | Test_Loss  0.4816028994 | Test_ACC  0.693 | Test_AUC  0.771 | Test_F1_score  0.701 | Test_Sens  0.696 | Test_Spec  0.689
Epoch 55 | Test_Loss  0.4664226965 | Test_ACC  0.686 | Test_AUC  0.768 | Test_F1_score  0.721 | Test_Sens  0.785 | Test_Spec  0.581
Epoch 56 | Test_Loss  0.4743865379 | Test_ACC  0.699 | Test_AUC  0.766 | Test_F1_score  0.705 | Test_Sens  0.696 | Test_Spec  0.703
Epoch 57 | Test_Loss  0.4704009722 | Test_ACC  0.667 | Test_AUC  0.751 | Test_F1_score  0.675 | Test_Sens  0.671 | Test_Spec  0.662
Epoch 58 | Test_Loss  0.4629755849 | Test_ACC  0.699 | Test_AUC  0.757 | Test_F1_score  0.729 | Test_Sens  0.785 | Test_Spec  0.608
Epoch 59 | Test_Loss  0.4710136250 | Test_ACC  0.686 | Test_AUC  0.743 | Test_F1_score  0.721 | Test_Sens  0.785 | Test_Spec  0.581
Epoch 60 | Test_Loss  0.4976753508 | Test_ACC  0.693 | Test_AUC  0.783 | Test_F1_score  0.722 | Test_Sens  0.772 | Test_Spec  0.608
Epoch 61 | Test_Loss  0.4674335083 | Test_ACC  0.699 | Test_AUC  0.763 | Test_F1_score  0.709 | Test_Sens  0.709 | Test_Spec  0.689
Epoch 62 | Test_Loss  0.4610342079 | Test_ACC  0.699 | Test_AUC  0.776 | Test_F1_score  0.716 | Test_Sens  0.734 | Test_Spec  0.662
Epoch 63 | Test_Loss  0.4728945908 | Test_ACC  0.719 | Test_AUC  0.772 | Test_F1_score  0.736 | Test_Sens  0.759 | Test_Spec  0.676
Epoch 64 | Test_Loss  0.4691011413 | Test_ACC  0.667 | Test_AUC  0.758 | Test_F1_score  0.712 | Test_Sens  0.797 | Test_Spec  0.527
Epoch 65 | Test_Loss  0.4607266058 | Test_ACC  0.693 | Test_AUC  0.744 | Test_F1_score  0.708 | Test_Sens  0.722 | Test_Spec  0.662
Epoch 66 | Test_Loss  0.4479783048 | Test_ACC  0.647 | Test_AUC  0.758 | Test_F1_score  0.679 | Test_Sens  0.722 | Test_Spec  0.568
Epoch 67 | Test_Loss  0.4469779153 | Test_ACC  0.719 | Test_AUC  0.770 | Test_F1_score  0.726 | Test_Sens  0.722 | Test_Spec  0.716
Epoch 68 | Test_Loss  0.4284819818 | Test_ACC  0.667 | Test_AUC  0.751 | Test_F1_score  0.679 | Test_Sens  0.684 | Test_Spec  0.649
Epoch 69 | Test_Loss  0.4406105759 | Test_ACC  0.627 | Test_AUC  0.731 | Test_F1_score  0.671 | Test_Sens  0.734 | Test_Spec  0.514
Epoch 70 | Test_Loss  0.4567601830 | Test_ACC  0.673 | Test_AUC  0.760 | Test_F1_score  0.706 | Test_Sens  0.759 | Test_Spec  0.581
Epoch 71 | Test_Loss  0.4640537410 | Test_ACC  0.621 | Test_AUC  0.747 | Test_F1_score  0.681 | Test_Sens  0.785 | Test_Spec  0.446
Epoch 72 | Test_Loss  0.4400926764 | Test_ACC  0.686 | Test_AUC  0.772 | Test_F1_score  0.696 | Test_Sens  0.696 | Test_Spec  0.676
Epoch 73 | Test_Loss  0.4494345097 | Test_ACC  0.667 | Test_AUC  0.782 | Test_F1_score  0.709 | Test_Sens  0.785 | Test_Spec  0.541
